block,trial_in_block,condCode,primeType,identity,word,nStandards,isTarget,targetPosition,standardImage,deviantImage,standardTargetImage,deviantTargetImage
1,1,NS,NEGATIVE,SELF,גַנָב,6,0,-1,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\self.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\self_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
1,2,DS,DEATH,SELF,גְּוִיָה,4,0,-1,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\self.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\self_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
1,3,NO,NEGATIVE,OTHER,שִׁפְחָה,3,0,-1,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
1,4,NO,NEGATIVE,OTHER,עָרִיצוּת,3,0,-1,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
1,5,NO,NEGATIVE,OTHER,בְּחִילָה,6,0,-1,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
1,6,DO,DEATH,OTHER,אַזְכָּרָה,5,0,-1,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
1,7,DS,DEATH,SELF,הֲרִיגָה,6,0,-1,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\self.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\self_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
1,8,NO,NEGATIVE,OTHER,רַעַשׁ,6,1,4,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
1,9,DO,DEATH,OTHER,יָגוֹן,3,0,-1,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\other_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
1,10,NS,NEGATIVE,SELF,רְעָלָה,3,1,1,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\self.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\self_target.png,c:\Users\AvivaLab\code\EEG_experiments\vMMR_EEG_PsychoPy_experiment\stimuli\faces\GenAI_faces\morph50_target.png
